strategy_id,canonical_title,source_row_exists,implementation_exists,implementation_path,vault_note,catalog_status,asset_class,reported_sharpe,reported_volatility,rebalancing,paper_url
STRAT-MULTI-TIME-SERIES-MOMENTUM-EFFECT,Time Series Momentum Effect,true,true,static/strategies/time-series-momentum-effect.py,60-Trading/Strategies/Time Series Momentum Effect.md,implemented,"Bonds, commodities, currencies, equities",0.576,20.5%,Monthly,https://pages.stern.nyu.edu/~lpederse/papers/TimeSeriesMomentum.pdf
STRAT-MULTI-SHORT-TERM-REVERSAL-WITH-FUTURES,Short Term Reversal with Futures,true,true,static/strategies/asset-class-momentum-rotational-system.py,60-Trading/Strategies/Short Term Reversal with Futures.md,implemented,"Bonds, commodities, currencies, equities",-0.05,12.3%,Weekly,https://ideas.repec.org/a/eee/jbfina/v28y2004i6p1337-1361.html
STRAT-MULTI-ASSET-TREND,Asset Class Trend-Following,true,true,static/strategies/asset-class-trend-following.py,60-Trading/Strategies/Asset Class Trend-Following.md,implemented,"Bonds, commodities, equities, REITs",0.502,10.4%,Monthly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=962461
STRAT-MULTI-MOMENTUM-ASSET-ALLOCATION-STRATEGY,Momentum Asset Allocation Strategy,true,true,static/strategies/asset-class-trend-following.py,60-Trading/Strategies/Momentum Asset Allocation Strategy.md,implemented,"Bonds, commodities, equities, REITs",0.321,11%,Monthly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1585517
STRAT-MULTI-PAIRED-SWITCHING,Paired Switching,true,true,static/strategies/paired-switching.py,60-Trading/Strategies/Paired Switching.md,implemented,"Bonds, equities",0.691,9.5%,Quarterly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1917044
STRAT-MULTI-FED-MODEL,FED Model,true,true,static/strategies/fed-model.py,60-Trading/Strategies/FED Model.md,implemented,"Bonds, equities",0.369,14.3%,Monthly,https://www.researchgate.net/publication/228267011_The_FED_Model_and_Expected_Asset_Returns
STRAT-MULTI-VALUE-AND-MOMENTUM-FACTORS-ACROSS-ASSET-,Value and Momentum Factors across Asset Classes,true,true,static/strategies/value-and-momentum-factors-across-asset-classes.py,60-Trading/Strategies/Value and Momentum Factors across Asset Classes.md,implemented,"Bonds, equities, REITs",0.155,9.8%,Monthly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1079975
STRAT-CMDTY-SKEWNESS,Skewness Effect in Commodities,true,true,static/strategies/skewness-effect-in-commodities.py,60-Trading/Strategies/Skewness Effect in Commodities.md,implemented,Commodities,0.482,17.7%,Monthly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2671165
STRAT-CMDTY-RETURN-ASYMMETRY-EFFECT-IN-COMMODITY-FUT,Return Asymmetry Effect in Commodity Futures,true,true,static/strategies/return-asymmetry-effect-in-commodity-futures.py,60-Trading/Strategies/Return Asymmetry Effect in Commodity Futures.md,implemented,Commodities,0.239,13.4%,Monthly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3918896
STRAT-CMDTY-MOMENTUM-EFFECT-IN-COMMODITIES,Momentum Effect in Commodities,true,true,static/strategies/momentum-effect-in-commodities.py,60-Trading/Strategies/Momentum Effect in Commodities.md,implemented,Commodities,0.14,20.3%,Monthly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=702281
STRAT-CMDTY-TERM-STRUCTURE-EFFECT-IN-COMMODITIES,Term Structure Effect in Commodities,true,true,static/strategies/term-structure-effect-in-commodities.py,60-Trading/Strategies/Term Structure Effect in Commodities.md,implemented,Commodities,0.128,23.1%,Monthly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1127213
STRAT-CMDTY-WTI-BRENT,Trading WTI/BRENT Spread,true,true,static/strategies/trading-wti-brent-spread.py,60-Trading/Strategies/Trading WTI-BRENT Spread.md,implemented,Commodities,-0.199,11.6%,Daily,https://link.springer.com/article/10.1057/jdhf.2009.24
STRAT-CRYPTO-BTC-OVERNIGHT,Overnight Seasonality in Bitcoin,true,true,static/strategies/intraday-seasonality-in-bitcoin.py,60-Trading/Strategies/Overnight Seasonality in Bitcoin.md,implemented,Cryptos,0.892,20.8%,Intraday,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4081000
STRAT-CRYPTO-REBALANCE-PREMIUM,Rebalancing Premium in Cryptocurrencies,true,true,static/strategies/rebalancing-premium-in-cryptocurrencies.py,60-Trading/Strategies/Rebalancing Premium in Cryptocurrencies.md,implemented,Cryptos,0.698,27.5%,Daily,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3982120
STRAT-FX-FX-CARRY-TRADE,FX Carry Trade,true,true,static/strategies/fx-carry-trade.py,60-Trading/Strategies/FX Carry Trade.md,implemented,Currencies,0.254,7.8%,Monthly,http://globalmarkets.db.com/new/docs/dbCurrencyReturns_March2009.pdf
STRAT-FX-DOLLAR-CARRY-TRADE,Dollar Carry Trade,true,true,static/strategies/dollar-carry-trade.py,60-Trading/Strategies/Dollar Carry Trade.md,implemented,Currencies,0.113,5.8%,Monthly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1541230
STRAT-FX-CURRENCY-MOMENTUM-FACTOR,Currency Momentum Factor,true,true,static/strategies/currency-momentum-factor.py,60-Trading/Strategies/Currency Momentum Factor.md,implemented,Currencies,-0.01,6.7%,Monthly,http://globalmarkets.db.com/new/docs/dbCurrencyReturns_March2009.pdf
STRAT-FX-CURRENCY-VALUE-FACTOR-PPP-STRATEGY,Currency Value Factor – PPP Strategy,true,true,static/strategies/currency-value-factor-ppp-strategy.py,60-Trading/Strategies/Currency Value Factor - PPP Strategy.md,implemented,Currencies,-0.103,5%,Quarterly,http://globalmarkets.db.com/new/docs/dbCurrencyReturns_March2009.pdf
STRAT-EQ-ASSET-GROWTH,Asset Growth Effect,true,true,static/strategies/asset-growth-effect.py,60-Trading/Strategies/Asset Growth Effect.md,implemented,Equities,0.835,10.2%,Yearly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1335524
STRAT-EQ-ST-REVERSAL,Short Term Reversal Effect in Stocks,true,true,static/strategies/short-term-reversal-in-stocks.py,60-Trading/Strategies/Short Term Reversal Effect in Stocks.md,implemented,Equities,0.816,21.4%,Weekly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1605049
STRAT-EQ-EARNINGS-REVERSAL,Reversal During Earnings-Announcements,true,true,static/strategies/reversal-during-earnings-announcements.py,60-Trading/Strategies/Reversal During Earnings-Announcements.md,implemented,Equities,0.785,25.7%,Daily,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2275982
STRAT-EQ-SIZE,Size Factor – Small Capitalization Stocks Premium,true,true,static/strategies/small-capitalization-stocks-premium-anomaly.py,60-Trading/Strategies/Size Factor - Small Capitalization Stocks Premium.md,implemented,Equities,0.747,11.1%,Yearly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3177539
STRAT-EQ-LOW-VOL,Low Volatility Factor Effect in Stocks,true,true,static/strategies/low-volatility-factor-effect-in-stocks.py,60-Trading/Strategies/Low Volatility Factor Effect in Stocks.md,implemented,Equities,0.717,11.5%,Monthly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=980865
STRAT-EQ-HOW-TO-USE-LEXICAL-DENSITY-OF-COMPANY-FI,How to Use Lexical Density of Company Filings,true,true,static/strategies/how-to-use-lexical-density-of-company-filings.py,60-Trading/Strategies/How to Use Lexical Density of Company Filings.md,implemented,Equities,0.688,10.4%,Monthly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3921091
STRAT-EQ-VOLATILITY-RISK-PREMIUM-EFFECT,Volatility Risk Premium Effect,true,true,static/strategies/volatility-risk-premium-effect.py,60-Trading/Strategies/Volatility Risk Premium Effect.md,implemented,Equities,0.637,13.2%,Monthly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=189840
STRAT-EQ-PAIRS-TRADING-WITH-STOCKS,Pairs Trading with Stocks,true,true,static/strategies/pairs-trading-with-stocks,60-Trading/Strategies/Pairs Trading with Stocks.md,implemented,Equities,0.634,8.5%,Daily,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=141615
STRAT-EQ-CRUDE-OIL-PREDICTS-EQUITY-RETURNS,Crude Oil Predicts Equity Returns,true,true,static/strategies/crude-oil-predicts-equity-returns.py,60-Trading/Strategies/Crude Oil Predicts Equity Returns.md,implemented,Equities,0.599,11.5%,Monthly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=460500
STRAT-EQ-BETTING-AGAINST-BETA-FACTOR-IN-STOCKS,Betting Against Beta Factor in Stocks,true,true,static/strategies/betting-against-beta-factor-in-stocks.py,60-Trading/Strategies/Betting Against Beta Factor in Stocks.md,implemented,Equities,0.594,18.9%,Monthly,https://pages.stern.nyu.edu/~lpederse/papers/BettingAgainstBeta.pdf
STRAT-EQ-TREND-FOLLOWING-EFFECT-IN-STOCKS,Trend-following Effect in Stocks,true,true,static/strategies/trend-following-effect-in-stocks.py,60-Trading/Strategies/Trend-following Effect in Stocks.md,implemented,Equities,0.569,15.2%,Daily,https://www.cis.upenn.edu/~mkearns/finread/trend.pdf
STRAT-EQ-ESG-FACTOR-MOMENTUM-STRATEGY,ESG Factor Momentum Strategy,true,true,static/strategies/esg-factor-momentum-strategy.py,60-Trading/Strategies/ESG Factor Momentum Strategy.md,implemented,Equities,0.559,21.8%,Monthly,https://www.semanticscholar.org/paper/Can-ESG-Add-Alpha-An-Analysis-of-ESG-Tilt-and-Nagy-Kassam/64f77da4f8ce5906a73ffe4e9eec7c49c0960acc
STRAT-EQ-VALUE-BOOK-TO-MARKET-FACTOR,Value (Book-to-Market) Factor,true,true,static/strategies/value-book-to-market-factor.py,60-Trading/Strategies/Value (Book-to-Market) Factor.md,implemented,Equities,0.526,11.9%,Monthly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2595747
STRAT-EQ-SOCCER-CLUBS-STOCKS-ARBITRAGE,Soccer Clubs’ Stocks Arbitrage,true,true,static/strategies/soccer-clubs-stocks-arbitrage.py,60-Trading/Strategies/Soccer Clubs' Stocks Arbitrage.md,implemented,Equities,0.515,14.2%,Daily,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1343685
